# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P
30400000 2977.87 -1.74891 500.05 0.999617
30500000 2977.87 -1.57583 500.021 0.999756
30600000 2977.87 -1.34789 499.983 0.999415
30700000 2977.87 -2.11072 500.111 0.999678
30800000 2977.87 -1.4484 500 0.999719
30900000 2977.87 -1.41475 499.994 1.00018
31000000 2977.87 -2.16178 500.119 0.998569
31100000 2977.87 -2.00585 500.093 0.99886
31200000 2977.87 -1.37911 499.988 1.00124
31300000 2977.87 -2.04509 500.1 0.999024
31400000 2977.87 -1.35183 499.984 0.999999
31500000 2977.87 -2.18525 500.123 0.998755
31600000 2977.87 -1.80628 500.06 0.999892
31700000 2977.87 -1.91321 500.078 0.99892
31800000 2977.87 -1.61811 500.028 0.999927
31900000 2977.87 -1.91815 500.079 0.999478
32000000 2977.87 -1.78049 500.055 0.999032
32100000 2977.87 -1.34219 499.982 0.999547
32200000 2977.87 -1.82711 500.063 0.999103
32300000 2977.87 -1.85162 500.068 0.9998
32400000 2977.87 -0.74473 499.882 1.00099
32500000 2977.87 -1.57793 500.022 0.999363
32600000 2977.87 -1.59057 500.024 0.999999
32700000 2977.87 -1.38067 499.988 0.999809
32800000 2977.87 -1.32396 499.979 1.00003
32900000 2977.87 -2.03839 500.099 1.00003
33000000 2977.87 -1.64015 500.032 0.999627
33100000 2977.87 -1.4241 499.996 1.00027
33200000 2977.87 -1.85786 500.069 0.999511
33300000 2977.87 -2.4183 500.162 1.00036
33400000 2977.87 -2.45251 500.168 0.999282
33500000 2977.87 -1.71987 500.045 1.00002
33600000 2977.87 -1.68794 500.04 0.998504
33700000 2977.87 -2.18709 500.124 1.00046
33800000 2977.87 -1.73033 500.047 1.00099
33900000 2977.87 -2.22417 500.13 0.999018
34000000 2977.87 -2.26397 500.137 0.99841
34100000 2977.87 -1.33188 499.98 1.0002
34200000 2977.87 -2.08848 500.107 0.999324
34300000 2977.87 -2.30426 500.143 0.999713
34400000 2977.87 -1.95248 500.084 0.999229
34500000 2977.87 -1.9537 500.085 1.00064
34600000 2977.87 -2.16079 500.119 0.998861
34700000 2977.87 -1.97277 500.088 0.99888
34800000 2977.87 -1.80026 500.059 0.999101
34900000 2977.87 -2.3778 500.156 0.998454
35000000 2977.87 -1.58039 500.022 0.998738
35100000 2977.87 -1.81109 500.061 0.998749
35200000 2977.87 -1.53315 500.014 0.99913
35300000 2977.87 -1.71475 500.045 0.999192
35400000 2977.87 -2.06512 500.103 0.999065
35500000 2977.87 -1.73716 500.048 0.999081
35600000 2977.87 -1.98243 500.089 0.999064
35700000 2977.87 -1.88902 500.074 0.999542
35800000 2977.87 -1.84488 500.066 0.998715
35900000 2977.87 -1.88038 500.072 0.998561
36000000 2977.87 -1.82105 500.062 0.99946
36100000 2977.87 -2.74905 500.218 0.998756
36200000 2977.87 -2.07789 500.105 0.999466
36300000 2977.87 -1.87583 500.072 0.999162
36400000 2977.87 -1.76654 500.053 1.00008
36500000 2977.87 -1.9925 500.091 1.00024
36600000 2977.87 -1.15628 499.951 1.00028
36700000 2977.87 -1.38158 499.989 1.00021
36800000 2977.87 -1.79411 500.058 0.999559
36900000 2977.87 -1.57692 500.021 1.00001
37000000 2977.87 -1.91102 500.077 0.999453
37100000 2977.87 -2.28758 500.14 0.998725
37200000 2977.87 -1.43739 499.998 0.9999
37300000 2977.87 -2.38399 500.157 0.998758
37400000 2977.87 -1.92728 500.08 0.998776
37500000 2977.87 -1.51911 500.012 1.00011
37600000 2977.87 -1.72949 500.047 0.999936
37700000 2977.87 -1.58671 500.023 1.00091
37800000 2977.87 -1.86361 500.069 0.999393
37900000 2977.87 -1.63735 500.032 0.999921
38000000 2977.87 -1.9701 500.087 0.999707
38100000 2977.87 -1.54478 500.016 0.999067
38200000 2977.87 -1.8881 500.074 0.999397
38300000 2977.87 -1.17179 499.953 0.999446
38400000 2977.87 -1.86356 500.07 0.999505
38500000 2977.87 -2.18807 500.124 0.999118
38600000 2977.87 -1.85224 500.068 1.00087
38700000 2977.87 -1.84307 500.066 1.00062
38800000 2977.87 -1.80657 500.06 0.99954
38900000 2977.87 -1.41947 499.995 0.999802
39000000 2977.87 -2.16574 500.12 0.999433
39100000 2977.87 -1.34375 499.982 1.00007
39200000 2977.87 -1.62875 500.03 1.00016
39300000 2977.87 -1.17997 499.955 1.00232
39400000 2977.87 -0.825503 499.895 1.00101
39500000 2977.87 -1.83879 500.065 0.998819
39600000 2977.87 -1.77037 500.054 0.999175
39700000 2977.87 -1.55849 500.018 1.00012
39800000 2977.87 -1.38885 499.99 0.999931
39900000 2977.87 -1.56325 500.019 1.00051
40000000 2977.87 -1.67351 500.038 0.999839
40100000 2977.87 -1.94812 500.084 0.999255
40200000 2977.87 -2.3695 500.154 0.998623
40300000 2977.87 -1.76192 500.052 0.999064
40400000 2977.87 -1.81846 500.062 0.998925
40500000 2977.87 -1.75681 500.052 1.00022
40600000 2977.87 -2.3718 500.155 0.999997
40700000 2977.87 -2.0056 500.093 1.00025
40800000 2977.87 -1.91339 500.078 1.00042
40900000 2977.87 -1.71782 500.045 0.998993
41000000 2977.87 -1.7183 500.045 0.999313
41100000 2977.87 -1.86566 500.07 0.999157
41200000 2977.87 -1.67784 500.039 1.00024
41300000 2977.87 -1.9987 500.092 1.00082
41400000 2977.87 -1.24289 499.965 1.00014
41500000 2977.87 -1.55998 500.018 0.999869
41600000 2977.87 -1.69579 500.042 0.998538
41700000 2977.87 -1.3129 499.977 0.9999
41800000 2977.87 -1.99565 500.092 0.999057
41900000 2977.87 -1.65462 500.034 0.999434
42000000 2977.87 -1.72132 500.045 1.00015
42100000 2977.87 -1.48889 500.007 0.999158
42200000 2977.87 -1.00111 499.925 1.00117
42300000 2977.87 -1.62727 500.03 0.998835
42400000 2977.87 -1.40621 499.992 0.999166
42500000 2977.87 -2.14335 500.116 0.999305
42600000 2977.87 -1.32197 499.978 1.00171
42700000 2977.87 -1.46861 500.003 0.999138
42800000 2977.87 -1.83818 500.066 0.999055
42900000 2977.87 -1.83873 500.065 0.999558
43000000 2977.87 -1.54508 500.016 0.999024
43100000 2977.87 -1.46607 500.003 1.00008
43200000 2977.87 -1.3479 499.983 0.999765
